Battle of Zhizhi,-35,-35,,BC
Final war of the Roman Republic,-31,-29,,BC
Battle of Actium,-30,-30,,BC
Battle of Alexandria,-29,-29,,BC
Cantabrian Wars,-28,-18,,BC
Battle of the Lupia River,-10,-10,,BC
Battle of the Teutoburg Forest,0,0,,0
Battle of the Weser River,16,16,,AD
Battle of Kunyang,23,23,,AD
Battle of the Medway,43,43,,AD
Battle of Caer Caradoc,50,50,,AD
Roman–Parthian War of 58–63,58,63,,AD
Boudica's Uprising,60,61,,AD
Battle of Watling Street,61,61,,AD
Massacre of the Ninth Legion,61,61,,AD
First Jewish-Roman War,66,73,,AD
Jewish–Roman wars,66,629,,AD
Battle of Beth Horon,66,,,AD
Battle of Gamla,67,67,,AD
Batavian rebellion,69,70,,AD
Siege of Jerusalem,70,70,,AD
Masada,72,73,,AD
Battle of Yiwulu,73,73,,AD
Battle of Mons Graupius,83,84,,AD
First Battle of Tapae,87,88,,AD
Battle of Ikh Bayan,89,89,,AD
Second Battle of Tapae,101,101,,AD
Battle of Adamclisi,101,102,,AD
First Dacian War,101,102,,AD
Second Dacian War,105,106,,AD
Battle of Sarmisegetusa,106,106,,AD
Kitos War,115,117,,AD
Bar Kokhba's revolt,132,135,,AD
Battle of Ctesiphon,165,165,,AD
Marcomannic Wars,166,180,,AD
Battle of Jwa-won,172,172,,AD
Yellow Turban Rebellion,184,205,,AD
Battle of Xingyang,190,190,,AD
Campaign against Dong Zhuo,190,191,,AD
Battle of Jieqiao,191,191,,AD
Battle of Xiangyang,191,191,,AD
Battle of Yangcheng,191,191,,AD
Battle of Nicaea,193,193,,AD
Battle of Fengqiu,193,193,,AD
Battle of Issus,194,194,,AD
Battle of Yan Province,194,194,,AD
Sun Ce's conquest of Wu Territory,194,199,,AD
Battle of Wancheng,197,197,,AD
Battle of Lugdunum,197,197,,AD
Battle of Yijing,198,199,,AD
Battle of Xiapi,198,198,,AD
Battle of Ctesiphon,198,198,,AD
Campaign against Yuan Shu,199,199,,AD
Battle of Guandu,200,200,,AD
Battle of Bowang,202,202,,AD
Battle of Red Cliffs,208,209,,AD
Battle of Xiakou,208,208,,AD
Battle of Jiangling,208,209,,AD
Battle of Yiling,208,208,,AD
Battle to the Southwest of Xiakou,208,208,,AD
Battle of Changban,208,208,,AD
Battle of Hefei,208,253,,AD
Battle of Tong Pass,211,211,,AD
Ma Chao's Siege of Ji,213,213,,AD
Yang Fu's Revolt,213,213,,AD
Battle of Chengdu,214,214,,AD
Battle of Baxi,215,215,,AD
Battle of Yangping,215,215,,AD
Battle of Ruxukou,217,217,,AD
Battle of Nisibis,217,217,,AD
Battle of Mount Dingjun,218,219,,AD
Battle of Antioch,218,218,,AD
Lü Meng's invasion of Jing Province,219,219,,AD
Battle of Han Shui,219,219,,AD
Battle of Fancheng,219,219,,AD
Battle of Xiaoting,221,222,,AD
Battle of Hormizdegan,224,224,,AD
Zhuge Liang's Southern Campaign,225,225,,AD
Battle of Xincheng,227,228,,AD
Battle of Jieting,228,228,,AD
Northern Expeditions,228,234,,AD
Battle of Shiting,228,228,,AD
Battle of Tianshui,228,228,,AD
Siege of Chencang,229,229,,AD
Battle of Wuzhang Plains,234,234,,AD
Battle of Carthage,238,238,,AD
Battle of Resaena,243,243,,AD
Battle of Xingshi,244,244,,AD
Battle of Misiche,244,244,,AD
Jiang Wei's Northern Expeditions,247,262,,AD
Battle of Philippopolis,250,250,,AD
Battle of Abrittus,251,251,,AD
Battle of Barbalissos,253,253,,AD
Battle of Didao,255,255,,AD
Battle of Edessa,259,259,,AD
War of the Eight Princes,261,306,,AD
Conquest of Shu by Wei,263,263,,AD
Battle of Naissus,268,268,,AD
Battle of Lake Benacus,268,268,,AD
Battle of Pavia,271,271,,AD
Battle of Placentia,271,271,,AD
Battle of Fano,271,271,,AD
Battle of Emesa,272,272,,AD
Battle of Immae,272,272,,AD
Battle of Châlons,274,274,,AD
Conquest of Wu by Jin,279,280,,AD
Battle of Lingones,298,298,,AD
Battle of Vindonissa,298,298,,AD
War of the Five Kings,298,298,,AD
Battle of Turin,312,312,,AD
Battle of Verona,312,312,,AD
Battle of Milvian Bridge,312,312,,AD
Battle of Tzirallum,313,313,,AD
Battle of Cibalae,314,314,,AD
Battle of Mardia,316,317,,AD
Battle of the Hellespont,324,324,,AD
Battle of Adrianople,324,324,,AD
Battle of Chrysopolis,324,324,,AD
Siege of Singara,344,344,,AD
War against Gallus,351,352,,AD
Battle of Mursa Major,351,351,,AD
Battle of Mons Seleucus,353,353,,AD
Battle of Durocortorum,356,356,,AD
Battle of Argentorate,357,357,,AD
Siege of Amida,359,359,,AD
Battle of Samarra,363,363,,AD
Battle of Ctesiphon,363,363,,AD
Battle of Thyatira,366,366,,AD
Great Conspiracy,367,368,,AD
Battle of Solicinium,367,367,,AD
Gothic War,376,382,,AD
Battle of the Willows,377,377,,AD
Battle of Argentovaria,378,378,,AD
Battle of Adrianople,378,378,,AD
Battle of Thessalonica,380,380,,AD
Battle of Fei River,383,383,,AD
Battle of the Save,388,388,,AD
Goguryeo–Yamato War,391,404,,AD
Battle of the Frigidus,394,394,,AD
Battle of Canhe Slope,395,395,,AD
Gildonic revolt,398,398,,AD
Battle of Pollentia,402,402,,AD
Battle of Verona,403,403,,AD
Battle of Ravenna,432,432,,AD
Battle of Narbonne,436,436,,AD
Battle of the Utus,447,447,,AD
Battle of Vartanantz,451,452,,AD
Battle of the Catalaunian Plains,451,451,,AD
Battle of Nedao,454,454,,AD
Sack of Rome,455,455,,AD
Celtic Invasion of Gaul,470,,,AD
Battle of Soissons,486,486,,AD
Battle of Tolbiac,496,,,AD
Byzantine–Sassanid Wars,502,628,,AD
Anastasian War,502,506,,AD
Battle of Vouillé,507,507,,AD
Battle of Mons Badonicus,516,516,,AD
Burgundian War,523,524,,AD
Battle of Vézeronce,524,524,,AD
Iberian War,526,532,,AD
Battle of Dara,530,530,,AD
Battle of Nisbis,530,530,,AD
Battle of Narbonne,531,,,AD
Battle of Callinicum,531,531,,AD
Vandalic War,533,534,,AD
Battle of Ad Decimum,533,533,,AD
Battle of Ticameron,533,533,,AD
Gothic War,535,554,,AD
Battle of Camlann,537,537,,AD
Siege of Rome,537,538,,AD
Lazic War,541,562,,AD
Frankish Invasion of Hispania,541,541,,AD
Battle of Faventia,542,542,,AD
Battle of Sena Gallica,551,551,,AD
Battle of Asfeld,552,552,,AD
Battle of Taginae,552,552,,AD
Battle of Mons Lactarius,552,552,,AD
Battle of the Volturnus,554,554,,AD
Roman–Persian War of 572–591,572,591,,AD
Battle of Gwen Ystrad,575,575,,AD
Battle of Deorham,577,577,,AD
Battle of Alclud Ford,580,580,,AD
Maurice’s Balkan campaigns,582,602,,AD
Battle of Solachon,586,586,,AD
The Turkish-Hephthalite War,588,588,,AD
Goguryeo-Sui Wars,598,614,,AD
Battle of Catterick,600,600,,AD
Battle of Degsastan,603,603,,AD
Battle of Salsu,612,612,,AD
Revolt against Heraclius,613,617,,AD
Battle of Antioch,613,613,,AD
Siege of Jerusalem,614,614,,AD
Shahin's invasion of Asia Minor,615,615,,AD
Battle of Chester,616,616,,AD
The Battle of the River Idle,616,,,AD
Second Turkish-Hephthalite War,619,619,,AD
Siege of Alexandria,619,619,,AD
Battle of Hulao,621,621,,AD
Battle of Issus,622,622,,AD
Battle of Badr,624,624,,AD
Battle of Uhud,625,625,,AD
Battle of Sarus,625,625,,AD
Siege of Constantinople,626,626,,AD
Third Perso-Turkic War,627,629,,AD
Battle of the Trench,627,627,,AD
Battle of Nineveh,627,627,,AD
Byzantine–Arab Wars,629,1180,,AD
Battle of Mu'tah,629,629,,AD
Battle of Khaybar,629,629,,AD
Conquest of Mecca,630,630,,AD
Battle of Hunayn,630,630,,AD
Battle of Wogastisburg,631,631,,AD
Battle of Yamama,632,632,,AD
Islamic conquest of Persia,633,656,,AD
Battle of ein-ul-tamr,633,633,,AD
Battle of Al-Anbar,633,633,,AD
Battle of Chains,633,633,,AD
Battle of River,633,633,,AD
Battle of Walaja,633,633,,AD
Battle of Ullais,633,633,,AD
Battle of Hira,633,633,,AD
Battle of Daumat-ul-jandal,633,633,,AD
Battle of Hatfield Chase,633,633,,AD
Battle of Muzayyah,633,633,,AD
Battle of Saniyy,633,633,,AD
Battle of Zumail,633,633,,AD
Battle of Heavenfield,634,634,,AD
Muslim conquest of Syria,634,638,,AD
Battle of Faraz,634,634,,AD
Battle of Dathin,634,634,,AD
Battle of Qarteen,634,634,,AD
Battle of Basra,634,634,,AD
Battle of Marj-al-Rahit,634,634,,AD
Battle of Ajnadayn,634,634,,AD
Conquest of Damascus,634,634,,AD
Battle of Maraj-al-Debaj,634,634,,AD
Battle of the Bridge,634,634,,AD
Battle of Fahl,635,635,,AD
Siege of Emesa,635,636,,AD
Battle of al-Qādisiyyah,636,636,,AD
Battle of Yarmouk,636,636,,AD
Siege of Jerusalem,636,637,,AD
Siege of Ctesiphon,637,637,,AD
Battle of Hazir,637,637,,AD
Battle of Aleppo,637,637,,AD
Battle of Iron bridge,637,637,,AD
Siege of Marash,638,638,,AD
Battle of Heliopolis,640,640,,AD
